CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.9 train.py
MEM 377.390625 1724702743.2253
MEM 377.390625 1724702743.3304
MEM 377.406250 1724702743.4355
MEM 377.421875 1724702743.5406
MEM 377.421875 1724702743.6458
MEM 377.421875 1724702743.7491
MEM 377.421875 1724702743.8542
MEM 377.437500 1724702743.9593
MEM 377.437500 1724702744.0644
MEM 377.437500 1724702744.1695
MEM 377.437500 1724702744.2746
MEM 377.437500 1724702744.3797
MEM 377.453125 1724702744.4849
MEM 377.453125 1724702744.5896
MEM 377.453125 1724702744.6948
MEM 377.453125 1724702744.7999
MEM 377.453125 1724702744.9050
MEM 377.453125 1724702745.0101
MEM 377.453125 1724702745.1112
MEM 377.453125 1724702745.2164
MEM 377.468750 1724702745.3174
MEM 377.468750 1724702745.4225
MEM 377.468750 1724702745.5275
MEM 377.468750 1724702745.6308
MEM 377.484375 1724702745.7323
MEM 377.500000 1724702745.8374
MEM 377.500000 1724702745.9426
MEM 377.500000 1724702746.0477
MEM 377.500000 1724702746.1528
MEM 377.500000 1724702746.2580
MEM 377.500000 1724702746.3600
MEM 377.515625 1724702746.4652
MEM 377.515625 1724702746.5703
MEM 377.515625 1724702746.6753
MEM 377.531250 1724702746.7804
MEM 377.531250 1724702746.8823
MEM 377.546875 1724702746.9874
MEM 381.375000 1724702747.0925
MEM 381.375000 1724702747.1974
MEM 381.375000 1724702747.3025
MEM 381.375000 1724702747.4076
MEM 381.375000 1724702747.5127
MEM 381.375000 1724702747.6179
MEM 381.390625 1724702747.7230
MEM 381.390625 1724702747.8258
MEM 381.390625 1724702747.9309
MEM 381.390625 1724702748.0322
MEM 381.390625 1724702748.1374
MEM 381.406250 1724702748.2425
MEM 381.406250 1724702748.3476
MEM 381.406250 1724702748.4496
MEM 381.406250 1724702748.5547
MEM 381.406250 1724702748.6598
MEM 381.406250 1724702748.7649
MEM 381.406250 1724702748.8700
MEM 381.406250 1724702748.9752
MEM 381.406250 1724702749.0803
MEM 381.406250 1724702749.1822
MEM 385.250000 1724702749.2873
MEM 385.250000 1724702749.3925
MEM 385.250000 1724702749.4976
MEM 385.265625 1724702749.6027
MEM 385.265625 1724702749.7063
MEM 385.265625 1724702749.8115
MEM 385.265625 1724702749.9166
MEM 385.265625 1724702750.0217
MEM 385.265625 1724702750.1268
MEM 385.265625 1724702750.2320
MEM 385.265625 1724702750.3371
MEM 385.281250 1724702750.4422
MEM 385.281250 1724702750.5473
MEM 385.281250 1724702750.6524
MEM 385.281250 1724702750.7575
MEM 385.296875 1724702750.8626
MEM 385.296875 1724702750.9677
MEM 385.296875 1724702751.0728
MEM 385.296875 1724702751.1779
MEM 385.312500 1724702751.2830
MEM 385.312500 1724702751.3881
MEM 385.312500 1724702751.4932
MEM 385.328125 1724702751.5984
MEM 385.328125 1724702751.7035
MEM 385.343750 1724702751.8086
MEM 385.343750 1724702751.9137
MEM 385.343750 1724702752.0188
MEM 385.343750 1724702752.1239
MEM 385.343750 1724702752.2291
MEM 385.343750 1724702752.3342
MEM 385.343750 1724702752.4393
MEM 387.343750 1724702752.5444
MEM 387.359375 1724702752.6495
MEM 387.375000 1724702752.7546
MEM 387.390625 1724702752.8598
MEM 387.390625 1724702752.9649
MEM 387.390625 1724702753.0700
MEM 387.390625 1724702753.1751
MEM 399.156250 1724702753.2794
MEM 399.890625 1724702753.3825
MEM 399.890625 1724702753.4875
MEM 399.906250 1724702753.5920
MEM 399.906250 1724702753.6970
MEM 399.906250 1724702753.8021
MEM 399.906250 1724702753.9071
MEM 399.906250 1724702754.0122
MEM 399.906250 1724702754.1173
MEM 402.109375 1724702754.2224
MEM 410.125000 1724702754.3255
MEM 429.671875 1724702754.4306
MEM 466.296875 1724702754.5359
MEM 499.359375 1724702754.6412
MEM 520.656250 1724702754.7436
MEM 520.656250 1724702754.8487
MEM 523.015625 1724702754.9539
MEM 523.015625 1724702755.0590
MEM 523.046875 1724702755.1640
MEM 523.468750 1724702755.2692
MEM 523.468750 1724702755.3743
MEM 523.843750 1724702755.4794
MEM 523.843750 1724702755.5845
MEM 523.843750 1724702755.6897
MEM 523.921875 1724702755.7921
MEM 523.921875 1724702755.8972
MEM 523.937500 1724702756.0023
MEM 523.937500 1724702756.1074
MEM 523.937500 1724702756.2125
MEM 523.953125 1724702756.3177
MEM 523.953125 1724702756.4228
